       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
     25.705  44.606054     0.3529    13.3540     5.1732     25.500    28.7489    38.1324 0.0000e+00
     25.806  44.604054     0.3479    13.3524     5.1685     25.600    28.7490    38.1319 0.0000e+00
     25.907  44.601795     0.3221    13.3509     5.1690     25.700    28.7488    38.1313 0.0000e+00
     26.008  44.600032     0.3333    13.3496     5.1694     25.800    28.7487    38.1309 0.0000e+00
     26.109  44.598844     0.3504    13.3486     5.1669     25.900    28.7488    38.1307 0.0000e+00
     26.210  44.598007     0.3387    13.3478     5.1678     26.000    28.7489    38.1306 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29     26.100 -9.990e-29 -9.990e-29 -9.990e-29
     26.380  44.597040     0.3148    13.3468     5.1717     26.200    28.7491    38.1306 0.0000e+00
     26.512  44.596530     0.4644    13.3463     5.1723     26.300    28.7492    38.1306 0.0000e+00
     26.613  44.596267     0.3760    13.3460     5.1726     26.400    28.7493    38.1306 0.0000e+00
     26.714  44.596060     0.3447    13.3456     5.1702     26.500    28.7494    38.1307 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29     26.600 -9.990e-29 -9.990e-29 -9.990e-29
     26.871  44.595818     0.3591    13.3453     5.1656     26.700    28.7495    38.1307 0.0000e+00
     27.016  44.595673     0.3952    13.3452     5.1597     26.800    28.7495    38.1306 0.0000e+00
     27.117  44.595639     0.3354    13.3451     5.1631     26.900    28.7495    38.1306 0.0000e+00
     27.217  44.595671     0.3403    13.3450     5.1619     27.000    28.7496    38.1307 0.0000e+00
     27.319  44.595827     0.3492    13.3451     5.1633     27.100    28.7496    38.1306 0.0000e+00
     27.420  44.596052     0.3677    13.3452     5.1685     27.200    28.7496    38.1307 0.0000e+00
     27.520  44.596411     0.3739    13.3455     5.1718     27.300    28.7496    38.1308 0.0000e+00
     27.621  44.597034     0.3729    13.3459     5.1724     27.400    28.7496    38.1309 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29     27.500 -9.990e-29 -9.990e-29 -9.990e-29
     27.774  44.598333     0.3801    13.3467     5.1779     27.600    28.7497    38.1313 0.0000e+00
     27.923  44.599478     0.3665    13.3474     5.1719     27.700    28.7498    38.1316 0.0000e+00
     28.024  44.599839     0.3672    13.3476     5.1734     27.800    28.7499    38.1318 0.0000e+00
     28.125  44.599974     0.4013    13.3478     5.1726     27.900    28.7498    38.1316 0.0000e+00
     28.226  44.600017     0.3738    13.3478     5.1679     28.000    28.7497    38.1316 0.0000e+00
     28.326  44.599985     0.3601    13.3478     5.1701     28.100    28.7497    38.1315 0.0000e+00
     28.427  44.599935     0.4225    13.3478     5.1664     28.200    28.7496    38.1314 0.0000e+00
     28.528  44.599994     0.3958    13.3479     5.1657     28.300    28.7495    38.1313 0.0000e+00
     28.629  44.600187     0.3948    13.3479     5.1670     28.400    28.7496    38.1314 0.0000e+00
